Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
pr152,152,Christofides,77591.40844650491,0.027114,ignored,1.05
u159,159,Twice Around the Tree,74309.11476881456,0.025977,ignored,1.77
u159,159,Christofides,46881.716326240356,0.115749,ignored,1.11
rat195,195,Twice Around the Tree,4329.58663098563,0.03741,ignored,1.86
rat195,195,Christofides,2597.0952220519634,0.238274,ignored,1.12
d198,198,Twice Around the Tree,23534.22900884072,0.037931,ignored,1.49
d198,198,Christofides,15667.940767319324,0.227291,ignored,0.99
kroA200,200,Twice Around the Tree,51865.16786521273,0.032269,ignored,1.77
kroA200,200,Christofides,33413.60208129192,0.376941,ignored,1.14
kroB200,200,Twice Around the Tree,52407.30866768744,0.066911,ignored,1.78
kroB200,200,Christofides,32768.84047256104,0.288903,ignored,1.11
ts225,225,Twice Around the Tree,224000.0,0.042664,ignored,1.77
ts225,225,Christofides,133782.1703627935,0.0982,ignored,1.06
tsp225,225,Twice Around the Tree,7031.400469472143,0.053359,ignored,1.79
tsp225,225,Christofides,4347.502889600349,0.291919,ignored,1.11
pr226,226,Twice Around the Tree,137279.9195455958,0.039894,ignored,1.71
pr226,226,Christofides,90951.93223040848,0.214626,ignored,1.13
gil262,262,Twice Around the Tree,4206.217170816099,0.070241,ignored,1.77
gil262,262,Christofides,2682.6243630467384,0.655246,ignored,1.13
pr264,264,Twice Around the Tree,82284.48527031398,0.069388,ignored,1.67
pr264,264,Christofides,54563.602434274835,0.231181,ignored,1.11
a280,280,Twice Around the Tree,4877.133481924452,0.113657,ignored,1.89
a280,280,Christofides,2926.6110111826356,0.472285,ignored,1.13
pr299,299,Twice Around the Tree,84986.47217959746,0.087366,ignored,1.76
pr299,299,Christofides,51848.540372197946,0.645275,ignored,1.08
lin318,318,Twice Around the Tree,75837.73219163908,0.125715,ignored,1.8
lin318,318,Christofides,47228.75653586447,0.810099,ignored,1.12
linhp318,318,Twice Around the Tree,75837.73219163908,0.126626,ignored,1.83
linhp318,318,Christofides,47228.75653586447,0.776697,ignored,1.14
rd400,400,Twice Around the Tree,27263.48287754133,0.187256,ignored,1.78
rd400,400,Christofides,17475.13519685324,2.398321,ignored,1.14
fl417,417,Twice Around the Tree,20425.59373775439,0.190228,ignored,1.72
fl417,417,Christofides,13297.835296468125,0.962015,ignored,1.12
pr439,439,Twice Around the Tree,184387.8079685624,0.20961,ignored,1.72
pr439,439,Christofides,119564.87861547971,1.031324,ignored,1.12
pcb442,442,Twice Around the Tree,92724.78106330859,0.22079,ignored,1.83
pcb442,442,Christofides,54211.0882139463,1.866529,ignored,1.07
d493,493,Twice Around the Tree,58569.10196601602,0.300483,ignored,1.67
d493,493,Christofides,36479.27673045965,3.10383,ignored,1.04
u574,574,Twice Around the Tree,64213.67365816696,0.396571,ignored,1.74
u574,574,Christofides,41302.30942669226,5.064561,ignored,1.12
rat575,575,Twice Around the Tree,12524.853343776509,0.41128,ignored,1.85
rat575,575,Christofides,7784.0676533262285,5.785205,ignored,1.15
